,case_id,tracer_id,target,source,cell_count,flne,gmeannz,mean,std
60,CJ108,FE,A8aV,PGM,62,0.0222701149425,0.00374034259473,0.00728821919573,0.00862786264634
61,CJ108,FE,A8aV,ProSt,0,0.0,0.000220994475138,4.41988950276e-05,9.88317338121e-05
62,CJ108,FE,A8aV,AIP,6,0.00215517241379,0.003418688468,0.00699234089858,0.0105548561594
63,CJ108,FE,A8aV,LIP,4,0.0014367816092,0.00710842084142,0.0105762958604,0.0081885606694
64,CJ108,FE,A8aV,MIP,47,0.016882183908,0.0226198867621,0.0296736123397,0.0290712318857
65,CJ108,FE,A8aV,OPt,71,0.0255028735632,0.00571047280354,0.0104337823457,0.00983492925398
66,CJ108,FE,A8aV,PE,134,0.048132183908,0.007322400477,0.0143250334089,0.0192572969811
67,CJ108,FE,A8aV,PEC,35,0.0125718390805,0.00129525039479,0.00374746815071,0.00516929859359
68,CJ108,FE,A8aV,PF,40,0.014367816092,0.014367816092,0.00287356321839,0.00642548269396
69,CJ108,FE,A8aV,PFG,53,0.0190373563218,0.00308313574391,0.00490132362418,0.00796365684751
70,CJ108,FE,A8aV,PG,57,0.020474137931,0.0021006724356,0.00576247084852,0.00840049717875
71,CJ108,FE,A8aV,VIP,7,0.00251436781609,0.00269113603088,0.003543311703,0.00220318073753
72,CJ108,FE,A8aV,A4ab,0,0.0,0.000122610700964,0.000119055394682,0.000197857565859
73,CJ108,FE,A8aV,A4c,0,0.0,6.27470318645e-05,2.54224358804e-05,3.55373919494e-05
74,CJ108,FE,A8aV,A6DC,3,0.0010775862069,0.00600240552541,0.0109492612347,0.0138042967906
75,CJ108,FE,A8aV,A6DR,28,0.0100574712644,0.016610794665,0.0272116239213,0.0212310032988
76,CJ108,FE,A8aV,A6M,3,0.0010775862069,0.00100617080759,0.00101499522528,0.000915346091835
77,CJ108,FE,A8aV,A6Va,94,0.0337643678161,0.053153495718,0.0585699579993,0.0316065129239
78,CJ108,FE,A8aV,A6Vb,6,0.00215517241379,0.0026601777643,0.00398464429155,0.00311053066655
79,CJ108,FE,A8aV,A8C,160,0.0574712643678,0.0348866324331,0.0414641765375,0.0276650267425
80,CJ108,FE,A8aV,A1-2,12,0.00431034482759,0.00124748833921,0.00120710466715,0.0018281826306
81,CJ108,FE,A8aV,A3a,0,0.0,0.00106894708712,0.000213789417424,0.00047804767023
82,CJ108,FE,A8aV,A3b,0,0.0,0.000570340429349,0.000232596080127,0.000328421344887
83,CJ108,FE,A8aV,S2E,2,0.000718390804598,0.000519977564076,0.000218951025052,0.000323279172366
84,CJ108,FE,A8aV,S2I,2,0.000718390804598,0.00057993558526,0.000237311119721,0.000336779150469
85,CJ108,FE,A8aV,S2PR,0,0.0,5.3447354356e-05,1.06894708712e-05,2.39023835115e-05
86,CJ108,FE,A8aV,S2PV,0,0.0,,0.0,0.0
87,CJ108,FE,A8aV,A19DI,0,0.0,0.00692277138386,0.00651046692117,0.00590575194168
88,CJ108,FE,A8aV,A19M,67,0.024066091954,0.0058995202982,0.0142343224879,0.0164608185062
89,CJ108,FE,A8aV,FST,10,0.00359195402299,0.0176443966324,0.0232964105942,0.0145742985017
90,CJ108,FE,A8aV,MST,51,0.0183189655172,0.0131051339702,0.0133946282211,0.00318900613671
91,CJ108,FE,A8aV,V1,2,0.000718390804598,0.000912374357406,0.000780748777861,0.00117263699156
92,CJ108,FE,A8aV,V2,18,0.00646551724138,0.00587585546328,0.00914327446553,0.0110610377306
93,CJ108,FE,A8aV,V3,22,0.00790229885057,0.0117502667183,0.0151174257938,0.0113695202578
94,CJ108,FE,A8aV,V3A,17,0.00610632183908,0.0119699999173,0.0151274305813,0.00981389470718
95,CJ108,FE,A8aV,V4,5,0.00179597701149,0.00713083541475,0.00874723859639,0.00503889822152
96,CJ108,FE,A8aV,V4T,4,0.0014367816092,0.0124383039644,0.0228341949423,0.0230582439401
97,CJ108,FE,A8aV,V5,41,0.0147270114943,0.0199008770171,0.0305682826171,0.0281267321186
98,CJ108,FE,A8aV,V6,41,0.0147270114943,0.0194709439689,0.0320628711409,0.0296596296923
99,CJ108,FE,A8aV,V6A,74,0.0265804597701,0.0043869971528,0.00751001515119,0.0109547083715
100,CJ108,FE,A8aV,A45,96,0.0344827586207,0.108029316555,0.12971293665,0.076663511405
101,CJ108,FE,A8aV,A47L,1140,0.409482758621,0.224387799743,0.251795664231,0.117720277164
102,CJ108,FE,A8aV,A47M,83,0.0298132183908,0.0355890868209,0.0366937485818,0.0104065882473
103,CJ108,FE,A8aV,A47O,3,0.0010775862069,0.00304896588485,0.00769176215127,0.0110905148584
104,CJ108,FE,A8aV,ProM,1,0.000359195402299,0.00142052130833,0.00166743144933,0.00188203030174
105,CJ108,FE,A8aV,A35,0,0.0,,0.0,0.0
106,CJ108,FE,A8aV,A36,0,0.0,0.000515653775322,0.000103130755064,0.000230607378895
107,CJ108,FE,A8aV,Ent,0,0.0,,0.0,0.0
108,CJ108,FE,A8aV,TF,0,0.0,,0.0,0.0
109,CJ108,FE,A8aV,TFO,0,0.0,0.000525260146162,0.000403997765224,0.000823481548645
110,CJ108,FE,A8aV,TH,3,0.0010775862069,0.000333710838635,0.00032388316519,0.000464029980342
111,CJ108,FE,A8aV,TL,0,0.0,,0.0,0.0
112,CJ108,FE,A8aV,TLO,0,0.0,0.00374531835206,0.000749063670412,0.00167495728652
113,CJ108,FE,A8aV,APir,0,0.0,,0.0,0.0
114,CJ108,FE,A8aV,Pir,0,0.0,,0.0,0.0
115,CJ108,FR,A8aD,A24a,2,0.00147167034584,0.00147167034584,0.000490556781948,0.000849669270331
116,CJ108,FR,A8aD,A24b,2,0.00147167034584,0.00147167034584,0.000490556781948,0.000849669270331
117,CJ108,FR,A8aD,A24c,2,0.00147167034584,0.00274250132583,0.00219413429472,0.00263084822589
118,CJ108,FR,A8aD,A24d,1,0.000735835172921,0.00225291226082,0.00327688231147,0.00315935831109
119,CJ108,FR,A8aD,AuA1,0,0.0,0.00468483816014,0.00156161272005,0.00270479257286
120,CJ108,FR,A8aD,AuAL,0,0.0,,0.0,0.0
121,CJ108,FR,A8aD,AuCL,1,0.000735835172921,0.00147607510486,0.00190304514395,0.00168361971453
122,CJ108,FR,A8aD,AuCM,0,0.0,0.00326860542694,0.00350330905849,0.00511231274873
123,CJ108,FR,A8aD,AuCPB,0,0.0,0.0272572402044,0.00908574673481,0.0157369749694
124,CJ108,FR,A8aD,AuML,1,0.000735835172921,0.00177027699365,0.00166492631829,0.00227641347337
125,CJ108,FR,A8aD,AuR,0,0.0,,0.0,0.0
126,CJ108,FR,A8aD,AuRM,0,0.0,,0.0,0.0
127,CJ108,FR,A8aD,AuRPB,0,0.0,0.000425894378194,0.000141964792731,0.000245890233897
128,CJ108,FR,A8aD,AuRT,0,0.0,,0.0,0.0
129,CJ108,FR,A8aD,AuRTL,0,0.0,,0.0,0.0
130,CJ108,FR,A8aD,AuRTM,0,0.0,,0.0,0.0
131,CJ108,FR,A8aD,STR,0,0.0,,0.0,0.0
132,CJ108,FR,A8aD,TPt,4,0.00294334069169,0.0091503115134,0.0135334236241,0.0133539403968
